YEAR,MONTH,DAY,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,HI,Albedo_linear,Albedo_spline,skin_temperature_max_C,skin_temperature_min_C,NDBaI_linear,NDBaI_spline,NDBI_linear,NDBI_spline,NDVI_original,NDWI_linear,NDWI_spline
2014,5,1,22.4,14.8,92,1,110,20.7,0.149547414,0.268355936,29.0786377,19.163797,0.191232343,0.233936654,-0.104096783,-0.140991424,0.006307407,-0.46765732,-0.393776733
2014,5,2,24,15.5,92,1,220,22.5,0.141416625,0.268377798,30.58884583,19.53296814,0.199806916,0.23400384,-0.109281141,-0.141024399,0.100674074,-0.483696139,-0.393638266
2014,5,3,24.2,16,88,1,180,23.5,0.133285836,0.268399647,30.79755554,19.40056763,0.208381488,0.234070958,-0.1144655,-0.141057335,0.147466667,-0.499734957,-0.393499959
2014,5,4,24.5,16.2,86,1,70,25.5,0.125155048,0.268421484,31.71639404,18.53499756,0.216956061,0.234138007,-0.119649858,-0.141090232,0.136274074,-0.515773776,-0.393361811
2014,5,5,25,16,90,1,220,25.9,0.117024259,0.117024259,31.82088623,18.34801636,0.225530633,0.225530633,-0.124834217,-0.124834217,0.24502963,-0.531812594,-0.531812594
2014,5,6,26.2,16.2,82,1,140,27.1,0.137948313,0.268465123,31.78208313,16.73960266,0.222774387,0.234271898,-0.121750453,-0.14115591,0.084007407,-0.507216324,-0.393085992
2014,5,7,26.5,17.2,85,1,110,28.2,0.158872366,0.268486925,31.81377563,18.78455505,0.220018142,0.234338741,-0.11866669,-0.141188691,0.206885185,-0.482620055,-0.392948322
2014,5,8,26.8,16.7,90,1,220,29.3,0.17979642,0.268508714,30.94060669,19.35559998,0.217261896,0.234405515,-0.115582926,-0.141221432,0.175992593,-0.458023785,-0.39281081
2014,5,9,23.5,17,90,1,360,23.3,0.200720473,0.268530491,30.49790344,18.87763367,0.21450565,0.23447222,-0.112499163,-0.141254135,0.17942963,-0.433427515,-0.392673457
2014,5,10,25.3,15.2,86,1,110,25.6,0.221644527,0.268552257,31.33396301,18.47612915,0.211749405,0.234538857,-0.1094154,-0.141286799,0.072862963,-0.408831246,-0.392536263
2014,5,11,24.4,16,86,1,110,25.4,0.24256858,0.268574011,30.54412231,17.99276123,0.208993159,0.234605426,-0.106331636,-0.141319424,0.086885185,-0.384234976,-0.392399228
2014,5,12,25.6,15.8,86,1,110,25.8,0.263492634,0.268595752,31.2558075,18.95810852,0.206236913,0.234671925,-0.103247873,-0.14135201,0.118359259,-0.359638706,-0.392262352
